,id,url,subtype,transaction,owner,sell-type,provider,title,location,features,description,price,price2,m2,rooms,amueblado,parking,distrito,temporalidad,cambio_precio,baños
3181,id39012000001135,https://www.habitaclia.com/alquiler-piso-amueblado_con_calefaccion_y_aire_acondicionado_putget_farro-barcelona-i39012000001135.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,39012-1,Alquiler Piso Passatge de mulet. Piso amueblado con calefacción y aire acondicionado,Barcelona - Putget - Farró,"50m2 - 1 habitacion - 1 baño - 26,50€/m2","Ático recién reformado con terraza de 40m2, consta de 1 dormitorio 1 baño salón comedor con salida a la terraza, equipad...",1.325 €,1325,50,1,Si,No,Sarria Sant Gervasi,Indefinido,No,1
3182,id13966003022652,https://www.habitaclia.com/alquiler-piso-magnifica_casa_situada_en_una_urbanizacion_de_lujo_de_de_gaziel_26_sant_gervasi_bonanova-barcelona-i13966003022652.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,13966-1,Alquiler Piso en Calle de gaziel 26. Magnífica casa situada en una urbanización de lujo de barcelona,Barcelona - Sant Gervasi - Bonanova,"379m2 - 5 habitaciones - 5 baños - 26,36€/m2",Magnífica casa situada en una urbanización de lujo de Barcelona zona alta. Esta vivienda de 320m2 se encuentra divida en...,"9.990 €
ha bajado 10 €",9990,379,5,No,Si,Sarria Sant Gervasi,Indefinido,Si,5
3183,id17052000000167,https://www.habitaclia.com/alquiler-duplex-con_ascensor_y_aire_acondicionado_sant_gervasi_bonanova-barcelona-i17052000000167.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,DUPLEX,RENT,PROFESSIONAL,SECOND_HAND,17052-1,Alquiler Dúplex Carrer de muntaner. Dúplex con ascensor y aire acondicionado,Barcelona - Sant Gervasi - Bonanova,"55m2 - 1 habitacion - 1 baño - 25,45€/m2","Piso duplex reformado, consta de primera planta con salón comedor, cocina americana, y dos balcones uno abierto y otro c...",1.400 €,1400,55,1,No,No,Sarria Sant Gervasi,Indefinido,No,1
3184,id21202000000428,https://www.habitaclia.com/alquiler-apartamento-putget_farro-barcelona-i21202000000428.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,21202-1,Alquiler Apartamento Carrer de balmes,Barcelona - Putget - Farró,"65m2 - 1 habitacion - 1 baño - 26,92€/m2","Ubicado en el barrio de Sant Gervasi, en la parte alta de la ciudad, encontramos SLEEP Balmes. Sus apartamentos amplios...","Oportunidad
1.750 €",1750,65,1,Si,No,Sarria Sant Gervasi,Indefinido,No,1
3185,id41661000000084,https://www.habitaclia.com/alquiler-piso-sin_muebles_tres_torres-barcelona-i41661000000084.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,41661-1,Alquiler Piso en Tres Torres. Sin muebles.,Barcelona - Tres Torres,"50m2 - 1 habitacion - 1 baño - 21,00€/m2","Apartamento sin amueblar. En Rda Gral Mitre, junto a la Clínica Corachán. De una habitación, un baño y un amplio salón...","Oportunidad
1.050 €",1050,50,1,No,No,Sarria Sant Gervasi,Indefinido,No,1
3186,id3050004446438,https://www.habitaclia.com/alquiler-piso-reformado_con_acabado_de_calidad_sant_gervasi_bonanova-barcelona-i3050004446438.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3050-1,Alquiler Piso Carrer muntaner. Reformado con acabado de calidad,Barcelona - Sant Gervasi - Bonanova,"77m2 - 2 habitaciones - 2 baños - 17,53€/m2","IMPECABLE PISO DE 77m2 EN LA CALLE MUNTANER Piso entresuelo, totalmente exterior a la calle. Tiene 77m2 repartidos e...",1.350 €,1350,77,2,No,No,Sarria Sant Gervasi,Indefinido,No,2
3187,id10125004018426,https://www.habitaclia.com/alquiler-duplex-de_lujo_en_avda_diagonal_balmes_sant_gervasi_galvany-barcelona-i10125004018426.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,DUPLEX,RENT,PROFESSIONAL,SECOND_HAND,10125-1,Alquiler Dúplex en Sant Gervasi - Galvany. Dúplex de lujo en avda. diagonal / balmes,Barcelona - Sant Gervasi - Galvany,"130m2 - 3 habitaciones - 2 baños - 30,00€/m2","ALQUILER TEMPORAL DE 32 DÍAS A 11 MESES En el tranquilo y exclusivo barrio de Sant Gervasi, rodeado de numerosas tie...",3.900 €,3900,130,3,No,No,Sarria Sant Gervasi,Temporal,No,2
3188,id41661000000070,https://www.habitaclia.com/alquiler-piso-con_parking_y_trastero_putget_farro-barcelona-i41661000000070.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,41661-1,Alquiler Piso Carrer de suïssa. Con parking y trastero,Barcelona - Putget - Farró,"52m2 - 1 habitacion - 1 baño - 19,71€/m2","Planta baja de 1 habitación en la calle Suissa, en el barrio del Putxet. Con parking y trastero en el mismo edificio e...",1.025 €,1025,52,1,No,No,Sarria Sant Gervasi,Indefinido,No,1
3189,id14760003330116,https://www.habitaclia.com/alquiler-piso-en_en_el_putget_i_farro_putget_farro-barcelona-i14760003330116.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,14760-1,Alquiler Piso en Putget - Farró. Piso en alquiler en el putget i farró,Barcelona - Putget - Farró,"50m2 - 1 habitacion - 1 baño - 24,00€/m2","REF RS6658 PISO DE ALQUILER EN SANT GERVASI Precioso piso situado en zona alta de Barcelona, en el Putxet, reforma...",1.200 €,1200,50,1,Si,No,Sarria Sant Gervasi,Indefinido,No,1
3190,id21202000000449,https://www.habitaclia.com/alquiler-apartamento-putget_farro-barcelona-i21202000000449.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,APARTMENT,RENT,PROFESSIONAL,SECOND_HAND,21202-1,Alquiler Apartamento Carrer de balmes,Barcelona - Putget - Farró,"45m2 - 1 habitacion - 1 baño - 37,67€/m2","Ubicado en el barrio de Sant Gervasi, en la parte alta de la ciudad, encontramos SLEEP Balmes. Sus apartamentos amplios...","1.695 €
ha bajado 5 €",1695,45,1,Si,No,Sarria Sant Gervasi,Indefinido,Si,1
